Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-October-2024,1636.00,1637.00,1602.30,1611.65,1614.538775880342558533,352874,17666,569728756.00,153291,43.44,34.70,-24.35
30-October-2024,1634.95,1651.50,1618.00,1633.60,1634.408445222805993383,102780,5362,167984500.00,55836,54.33,33.50,-1.35
29-October-2024,1657.75,1668.65,1610.00,1636.85,1632.116447896501251239,169432,9471,276532754.00,42387,25.02,58.65,-20.90
28-October-2024,1652.10,1677.40,1645.90,1663.65,1663.088124881201292529,42088,4193,69996053.00,13293,31.58,31.50,11.55
25-October-2024,1685.80,1685.80,1655.75,1664.40,1671.924029949382348455,275398,14486,460444534.00,103296,37.51,30.05,-21.40
24-October-2024,1689.90,1691.85,1656.75,1680.20,1670.860571357698032082,48376,3442,80829551.00,28038,57.96,35.10,-9.70
23-October-2024,1688.05,1701.25,1680.15,1685.00,1690.845209089552980955,60333,2734,102013764.00,27983,46.38,21.10,-3.05
22-October-2024,1689.05,1712.95,1688.00,1691.75,1698.210852670068263656,71927,6412,122147212.00,28897,40.18,24.95,2.70
21-October-2024,1706.75,1708.00,1661.55,1693.15,1686.088075513666890051,70133,8943,118250415.00,29431,41.96,46.45,-13.60
18-October-2024,1704.95,1715.20,1685.00,1706.80,1704.363627681621244775,314129,15073,535390042.00,153711,48.93,30.20,1.85
17-October-2024,1737.95,1737.95,1694.90,1702.75,1714.307769813167515905,34737,3992,59549909.00,11058,31.83,43.05,-35.20
16-October-2024,1724.95,1742.05,1717.25,1733.45,1729.602533506894224279,82968,9613,143501663.00,29497,35.55,24.80,8.50
15-October-2024,1708.45,1732.40,1699.75,1717.90,1717.773947985029527454,94319,7579,162018721.00,33285,35.29,32.65,9.45
14-October-2024,1685.00,1709.80,1679.00,1696.60,1691.941648822269807280,91532,8348,154866803.00,64803,70.80,30.80,11.60
11-October-2024,1667.05,1690.65,1659.15,1687.00,1681.851880026680337583,181407,13783,305099704.00,25835,14.24,31.50,19.95
10-October-2024,1684.05,1698.10,1665.00,1678.30,1672.279481521380292947,115106,9712,192489402.00,84126,73.09,33.10,-5.75
9-October-2024,1669.95,1704.35,1661.60,1679.45,1684.422788324454115704,106616,7768,179586420.00,49680,46.60,42.75,9.50
8-October-2024,1600.00,1679.60,1600.00,1658.40,1664.544557739426297037,93463,8169,155573328.00,50149,53.66,79.60,58.40
7-October-2024,1656.95,1669.40,1643.65,1663.10,1654.862737925586097753,787326,7077,1302916460.00,719905,91.44,25.75,6.15
4-October-2024,1666.05,1687.10,1630.50,1640.75,1668.336892126365810576,639730,20245,1067285160.00,303683,47.47,56.60,-25.30
3-October-2024,1650.25,1695.00,1650.25,1675.80,1681.992839757489932291,112985,9373,190039961.00,52086,46.10,44.75,25.55
1-October-2024,1709.55,1722.80,1695.85,1699.05,1708.589252350530376084,132736,12445,226791303.00,66197,49.87,26.95,-10.50
